date,desc,amount,currency,cat,subcat
2024-01-17,Simulated expense for Food & Dining - Groceries,-141.04,USD,Food & Dining,Groceries
2024-01-21,Simulated expense for Food & Dining - Groceries,-123.6,USD,Food & Dining,Groceries
2024-01-08,Simulated expense for Food & Dining - Groceries,-89.77,USD,Food & Dining,Groceries
2024-01-08,Simulated expense for Food & Dining - Groceries,-24.57,USD,Food & Dining,Groceries
2024-01-24,Simulated expense for Food & Dining - Groceries,-134.36,USD,Food & Dining,Groceries
2024-01-14,Simulated expense for Food & Dining - Groceries,-13.29,USD,Food & Dining,Groceries
2024-01-22,Simulated expense for Food & Dining - Groceries,-145.93,USD,Food & Dining,Groceries
2024-01-16,Simulated expense for Food & Dining - Groceries,-70.69,USD,Food & Dining,Groceries
2024-01-15,Simulated expense for Food & Dining - Restaurants,-119.38,USD,Food & Dining,Restaurants
2024-01-14,Simulated expense for Food & Dining - Restaurants,-22.19,USD,Food & Dining,Restaurants
2024-01-22,Simulated expense for Food & Dining - Restaurants,-157.48,USD,Food & Dining,Restaurants
2024-01-31,Simulated expense for Food & Dining - Coffee,-13.62,USD,Food & Dining,Coffee
2024-01-17,Simulated expense for Food & Dining - Coffee,-4.03,USD,Food & Dining,Coffee
2024-01-25,Simulated expense for Food & Dining - Coffee,-11.5,USD,Food & Dining,Coffee
2024-01-17,Simulated expense for Food & Dining - Coffee,-10.53,USD,Food & Dining,Coffee
2024-01-11,Simulated expense for Food & Dining - Coffee,-14.29,USD,Food & Dining,Coffee
2024-01-08,Simulated expense for Food & Dining - Coffee,-10.71,USD,Food & Dining,Coffee
2024-01-23,Simulated expense for Food & Dining - Coffee,-7.4,USD,Food & Dining,Coffee
2024-01-19,Simulated expense for Food & Dining - Coffee,-4.37,USD,Food & Dining,Coffee
2024-01-16,Simulated expense for Food & Dining - Coffee,-12.42,USD,Food & Dining,Coffee
2024-01-29,Simulated expense for Food & Dining - Coffee,-7.93,USD,Food & Dining,Coffee
2024-01-23,Simulated expense for Food & Dining - Coffee,-3.05,USD,Food & Dining,Coffee
2024-01-28,Simulated expense for Food & Dining - Coffee,-7.63,USD,Food & Dining,Coffee
2024-01-03,Simulated expense for Food & Dining - Coffee,-3.76,USD,Food & Dining,Coffee
2024-01-05,Simulated expense for Food & Dining - Coffee,-5.91,USD,Food & Dining,Coffee
2024-01-17,Simulated expense for Food & Dining - Coffee,-9.82,USD,Food & Dining,Coffee
2024-01-17,Simulated expense for Food & Dining - Coffee,-13.1,USD,Food & Dining,Coffee
2024-01-16,Simulated expense for Food & Dining - Coffee,-12.78,USD,Food & Dining,Coffee
2024-01-25,Simulated expense for Food & Dining - Coffee,-8.82,USD,Food & Dining,Coffee
